id,createdAt,updatedAt,deletedAt,date,name,address,point,status,priceInCents,verified,logoPath,link,linkDisplay,polygon,groupID,pricePerN,approved,isExpired,isManaged,lat,lng,google_maps_url,price_in_dollars,date_local_time,updatedAt_local_time,createdAt_local_time,last_updated_mins_ago
22136165-51a3-40fb-a36b-88f40bb83212,2022-01-20T22:59:50.681Z,2022-01-20T22:59:50.681Z,,2022-01-20T22:59:50.308Z,Heidelberg Repatriation Hospital,"300 Waterdale Rd, Heidelberg Heights VIC 3081, Australia","{'type': 'Point', 'coordinates': [145.0475097, -37.7545146]}",IN_STOCK,,False,,,,,,2.0,True,False,False,-37.7545146,145.0475097,"https://maps.google.com/maps?q=-37.7545146,145.0475097",,2022-01-21 09:59:50.308000+11:00,2022-01-21 09:59:50.681000+11:00,2022-01-21 09:59:50.681000+11:00,675
928aad1d-8fe8-4dc3-a12c-882ea2400c89,2022-01-20T22:27:08.526Z,2022-01-20T22:27:08.526Z,,2022-01-20T22:27:08.164Z,Better Value Pharmacy,"250 Springvale Rd, Springvale VIC 3171, Australia","{'type': 'Point', 'coordinates': [145.152204, -37.9505429]}",IN_STOCK,1395.0,False,,,,,,1.0,True,False,False,-37.9505429,145.152204,"https://maps.google.com/maps?q=-37.9505429,145.152204",13.95,2022-01-21 09:27:08.164000+11:00,2022-01-21 09:27:08.526000+11:00,2022-01-21 09:27:08.526000+11:00,707
d13d58a0-1b73-44e3-bcec-4ff14b3d55e1,2022-01-20T22:03:45.164Z,2022-01-20T22:40:01.066Z,,2022-01-20T22:03:44.802Z,COVID Solutions Australia,"2/15 Elite Way, Mornington VIC 3931, Australia","{'type': 'Point', 'coordinates': [145.0576987, -38.230855]}",IN_STOCK,48400.0,False,,,,,,20.0,True,False,False,-38.230855,145.0576987,"https://maps.google.com/maps?q=-38.230855,145.0576987",484.0,2022-01-21 09:03:44.802000+11:00,2022-01-21 09:40:01.066000+11:00,2022-01-21 09:03:45.164000+11:00,694
31a5fb14-7384-4e2b-8384-f1d82ab197c7,2022-01-20T21:13:27.969Z,2022-01-20T21:13:27.969Z,,2022-01-20T21:13:27.604Z,"Access Direct Melbourne - Office Cleaning Supplies, Hotel Supplies","30 Intrepid St, Berwick VIC 3806, Australia","{'type': 'Point', 'coordinates': [145.337922, -38.037036]}",IN_STOCK,1990.0,False,,,,,,,True,False,False,-38.037036,145.337922,"https://maps.google.com/maps?q=-38.037036,145.337922",19.9,2022-01-21 08:13:27.604000+11:00,2022-01-21 08:13:27.969000+11:00,2022-01-21 08:13:27.969000+11:00,781
c24cdd52-b6e2-4c92-9dbd-c7b5e10ddc6a,2022-01-20T10:11:42.602Z,2022-01-20T22:14:24.313Z,,2022-01-20T10:11:42.239Z,Paris Nails,"Shop 2/25 Fletcher Rd, Chirnside Park VIC 3116, Australia","{'type': 'Point', 'coordinates': [145.3136747, -37.7614511]}",IN_STOCK,,False,,,,,,,True,False,False,-37.7614511,145.3136747,"https://maps.google.com/maps?q=-37.7614511,145.3136747",,2022-01-20 21:11:42.239000+11:00,2022-01-21 09:14:24.313000+11:00,2022-01-20 21:11:42.602000+11:00,720
daa667e3-4507-476d-a06e-d038188a91fe,2022-01-20T08:09:56.732Z,2022-01-20T08:09:56.732Z,,2022-01-20T08:09:56.365Z,Champions IGA,"175 High St, Heathcote VIC 3523, Australia","{'type': 'Point', 'coordinates': [144.7058227, -36.9195129]}",IN_STOCK,3000.0,False,,,,,,2.0,True,False,False,-36.9195129,144.7058227,"https://maps.google.com/maps?q=-36.9195129,144.7058227",30.0,2022-01-20 19:09:56.365000+11:00,2022-01-20 19:09:56.732000+11:00,2022-01-20 19:09:56.732000+11:00,1565
2464dd01-bfe6-4b17-91ce-83b0feab9956,2022-01-21T02:06:22.581Z,2022-01-21T02:06:22.581Z,,2022-01-21T02:06:22.253Z,Letsave Convenience & Indian grocery store,"8 Power St, Southbank VIC 3006, Australia","{'type': 'Point', 'coordinates': [144.9610966, -37.8235015]}",LOW_STOCK,4000.0,False,,,,,,2.0,True,False,False,-37.8235015,144.9610966,"https://maps.google.com/maps?q=-37.8235015,144.9610966",40.0,2022-01-21 13:06:22.253000+11:00,2022-01-21 13:06:22.581000+11:00,2022-01-21 13:06:22.581000+11:00,488
006e6d11-be20-4b4c-95e1-fc48bf531b2d,2022-01-21T01:56:59.461Z,2022-01-21T01:56:59.461Z,,2022-01-21T01:56:59.103Z,Chemist Warehouse Victoria Gardens Shopping Centre,"Victoria Gardens SP041, 620 Victoria St, Richmond VIC 3121, Australia","{'type': 'Point', 'coordinates': [145.0098557, -37.8123647]}",LOW_STOCK,2000.0,False,,,,,,2.0,True,False,False,-37.8123647,145.0098557,"https://maps.google.com/maps?q=-37.8123647,145.0098557",20.0,2022-01-21 12:56:59.103000+11:00,2022-01-21 12:56:59.461000+11:00,2022-01-21 12:56:59.461000+11:00,497
ed0bf5e0-4e3e-4444-aa14-0660a0c7080b,2022-01-21T01:51:26.725Z,2022-01-21T01:51:26.725Z,,2022-01-21T01:51:26.398Z,7-Eleven,"620 Collins St, Melbourne VIC 3000, Australia","{'type': 'Point', 'coordinates': [144.9543036, -37.8188448]}",LOW_STOCK,2995.0,False,,,,,,2.0,True,False,False,-37.8188448,144.9543036,"https://maps.google.com/maps?q=-37.8188448,144.9543036",29.95,2022-01-21 12:51:26.398000+11:00,2022-01-21 12:51:26.725000+11:00,2022-01-21 12:51:26.725000+11:00,503
c830f1c3-14fd-448f-8533-046de6612d02,2022-01-21T01:24:10.464Z,2022-01-21T01:24:10.464Z,,2022-01-21T01:24:10.143Z,Chemist Warehouse Bentleigh,"421/421a Centre Rd, Bentleigh VIC 3204, Australia","{'type': 'Point', 'coordinates': [145.0392725, -37.918293]}",LOW_STOCK,2000.0,False,,,,,,2.0,True,False,False,-37.918293,145.0392725,"https://maps.google.com/maps?q=-37.918293,145.0392725",20.0,2022-01-21 12:24:10.143000+11:00,2022-01-21 12:24:10.464000+11:00,2022-01-21 12:24:10.464000+11:00,530
c7fbf7e8-b96c-450b-9db1-0b47227a5620,2022-01-20T23:07:16.185Z,2022-01-20T23:07:16.185Z,,2022-01-20T23:07:15.849Z,Chemist Warehouse Pakenham Main Street,"154 Main St, Pakenham VIC 3810, Australia","{'type': 'Point', 'coordinates': [145.4831355, -38.0787483]}",LOW_STOCK,2000.0,False,,,,,,2.0,True,False,False,-38.0787483,145.4831355,"https://maps.google.com/maps?q=-38.0787483,145.4831355",20.0,2022-01-21 10:07:15.849000+11:00,2022-01-21 10:07:16.185000+11:00,2022-01-21 10:07:16.185000+11:00,667
d779bbf8-b3e1-4345-847f-004de181626d,2022-01-20T10:07:43.482Z,2022-01-20T10:07:43.482Z,,2022-01-20T10:07:43.149Z,TerryWhite Chemmart Maddingley,"4 O'Leary Wy, Maddingley VIC 3340, Australia","{'type': 'Point', 'coordinates': [144.4132928, -37.6886342]}",LOW_STOCK,2495.0,False,,,,,,2.0,True,False,False,-37.6886342,144.4132928,"https://maps.google.com/maps?q=-37.6886342,144.4132928",24.95,2022-01-20 21:07:43.149000+11:00,2022-01-20 21:07:43.482000+11:00,2022-01-20 21:07:43.482000+11:00,1447
ca135b82-a91c-43c1-b345-7c3c2f252bfe,2022-01-20T09:47:56.121Z,2022-01-20T09:47:56.121Z,,2022-01-20T09:47:55.757Z,Coles,"1 Douglas St, Noble Park VIC 3174, Australia","{'type': 'Point', 'coordinates': [145.173018, -37.965451]}",LOW_STOCK,3000.0,False,,,,,,2.0,True,False,False,-37.965451,145.173018,"https://maps.google.com/maps?q=-37.965451,145.173018",30.0,2022-01-20 20:47:55.757000+11:00,2022-01-20 20:47:56.121000+11:00,2022-01-20 20:47:56.121000+11:00,1467
